resolution,condition,mean_chamfer,std_chamfer
128,blur_high,0.06642420773810287,0.008744388381824888
128,blur_low,0.04755313658695996,0.01644733401188675
128,jpeg_35,0.027291949712121594,0.01496735776685337
128,jpeg_70,0.022679726423943024,0.012414728747795997
128,occlusion_15,0.06243648296268407,0.021933132045107037
128,occlusion_30,0.060889070436625004,0.016220411353564515
192,blur_high,0.06641855226007332,0.008815794370716988
192,blur_low,0.047170469527053664,0.016477836007429504
192,jpeg_35,0.026905553292580053,0.014678127166230674
192,jpeg_70,0.022424548920479445,0.012470895946204544
192,occlusion_15,0.06172487006833717,0.022070801864004595
192,occlusion_30,0.06051591179840571,0.016384307309813308
256,blur_high,0.06668602771058113,0.008699201261712938
256,blur_low,0.04735041151752855,0.016366498510287996
256,jpeg_35,0.026938086260253676,0.014729091474197646
256,jpeg_70,0.022381314981030277,0.012631864037180442
256,occlusion_15,0.06217734024189054,0.022307626174713373
256,occlusion_30,0.06064544502277875,0.016554754548534313
320,blur_high,0.06659632019956271,0.008669986360578546
320,blur_low,0.047225947963452565,0.016568314943644767
320,jpeg_35,0.02691765467059383,0.014900209037294521
320,jpeg_70,0.022396652350659588,0.012521849284391599
320,occlusion_15,0.06173055534799547,0.022331479515996986
320,occlusion_30,0.060282878829751516,0.016298024832345392
384,blur_high,0.06665158121834205,0.008811989484920348
384,blur_low,0.047354238972899886,0.016688343647825107
384,jpeg_35,0.027024039667051667,0.014906962695538355
384,jpeg_70,0.02244742938996654,0.012583516366189498
384,occlusion_15,0.061830581213412596,0.022075319354859107
384,occlusion_30,0.06056443612591876,0.01617906779832387
448,blur_high,0.06662971967370637,0.008792076164580106
448,blur_low,0.0471745694854528,0.01672383047028966
448,jpeg_35,0.026933315419347872,0.01475746613987836
448,jpeg_70,0.02239077161513636,0.012482576059966255
448,occlusion_15,0.0616012874515621,0.02189588751387512
448,occlusion_30,0.060552348892564244,0.01636010276651772
512,blur_high,0.06662828187568534,0.008634625037882418
512,blur_low,0.04723837916065648,0.0163912261271678
512,jpeg_35,0.02685153745149311,0.014741595467267632
512,jpeg_70,0.022367266824696558,0.012426247204851058
512,occlusion_15,0.061988653834033326,0.022160202638851705
512,occlusion_30,0.060416991173782984,0.016112718257818914
640,blur_high,0.06664917169928519,0.008958946970758956
640,blur_low,0.047289609143472654,0.016628361157666534
640,jpeg_35,0.026973482872614755,0.015024707801048625
640,jpeg_70,0.022400490045826643,0.012555341311077437
640,occlusion_15,0.061768512454848615,0.022351625813375835
640,occlusion_30,0.060206412438068235,0.01644968474788718
