resolution,condition,unsupported_rate_002,mean_distance,p95_distance
128,clean,0.5433190731299592,0.07355100055950169,0.13868336680597096
128,jpeg_35,0.5864814029693497,0.07435112789956673,0.14323038317650588
128,occlusion_30,0.7797406342694683,0.09692655516280312,0.18591908644922334
256,clean,0.5376501230955839,0.07366793473002972,0.1383895046909108
256,jpeg_35,0.5879145437636224,0.07466926678348564,0.1432919333278787
256,occlusion_30,0.7796718345295163,0.0969625631868588,0.18593770428098674
512,clean,0.537203940789388,0.07366556295120573,0.13825659674814209
512,jpeg_35,0.5892325685313639,0.07482773004253288,0.14352152693623807
512,occlusion_30,0.7814393386971047,0.0973433270766452,0.18747439884226108
